custAge,profession,marital,responded
,technician,married,no
31,technician,married,no
,technician,married,no
54,management,divorced,no
26,technician,married,no
,services,single,no
32,unemployed,divorced,no
50,blue-collar,married,no
56,retired,married,yes
43,technician,single,no
48,blue-collar,married,no
53,admin.,married,no
,services,divorced,no
44,services,married,no
54,blue-collar,married,no
37,housemaid,married,no
35,unknown,single,no
40,blue-collar,married,no
41,services,married,no
35,management,single,no
,admin.,single,no
38,management,divorced,no
,student,single,yes
33,technician,single,no
,admin.,married,no
46,admin.,married,no
30,student,single,no
36,self-employed,divorced,no
56,management,married,no
,admin.,married,no
,admin.,single,no
41,entrepreneur,married,no
57,housemaid,divorced,no
47,blue-collar,married,no
44,technician,married,no
47,self-employed,married,no
41,technician,married,no
,management,single,yes
38,management,married,no
34,technician,married,no
56,housemaid,married,no
29,entrepreneur,married,no
55,management,married,yes
37,blue-collar,single,no
,admin.,married,no
30,entrepreneur,married,no
,services,married,yes
27,admin.,single,no
50,admin.,married,no
53,admin.,married,no
35,services,single,no
50,management,married,no
46,admin.,single,no
50,admin.,married,no
25,admin.,single,no
,technician,single,yes
25,admin.,single,yes
,blue-collar,married,no
58,admin.,married,no
32,admin.,single,no
26,blue-collar,single,no
20,student,single,no
,admin.,married,no
30,admin.,single,no
52,management,married,no
31,admin.,single,no
,technician,married,no
29,services,divorced,no
44,blue-collar,single,no
35,admin.,married,no
57,blue-collar,married,no
30,admin.,married,no
50,self-employed,married,no
33,admin.,single,no
28,admin.,married,no
30,admin.,single,no
51,admin.,married,no
32,technician,single,yes
,blue-collar,divorced,no
,technician,single,no
34,technician,single,no
41,blue-collar,married,no
37,admin.,single,no
29,admin.,single,yes
,housemaid,married,no
27,admin.,married,yes
56,blue-collar,married,no
55,entrepreneur,divorced,no
,admin.,single,no
56,management,married,no
35,admin.,married,yes
28,blue-collar,single,no
28,student,single,yes
45,technician,married,no
37,entrepreneur,married,no
38,admin.,divorced,no
34,blue-collar,single,yes
44,management,married,no
51,blue-collar,married,no
48,technician,married,no
55,technician,divorced,no
48,admin.,married,no
33,admin.,single,no
34,admin.,married,no
41,admin.,married,no
32,blue-collar,divorced,no
59,retired,single,no
35,management,single,no
,student,single,no
,blue-collar,married,yes
46,entrepreneur,married,no
56,entrepreneur,married,no
53,management,married,no
32,blue-collar,divorced,no
57,blue-collar,divorced,no
55,housemaid,married,no
34,services,single,no
46,blue-collar,married,no
54,management,married,no
29,admin.,married,yes
31,admin.,married,no
,blue-collar,single,no
48,technician,married,no
,admin.,single,no
,blue-collar,married,no
41,unemployed,divorced,no
26,admin.,single,yes
45,management,married,no
45,admin.,single,no
54,entrepreneur,married,yes
,retired,married,no
25,admin.,single,no
46,admin.,single,no
,technician,divorced,no
34,entrepreneur,married,no
50,management,married,no
27,admin.,single,no
39,technician,single,no
52,blue-collar,married,no
,admin.,single,no
25,services,divorced,no
54,self-employed,married,no
24,student,single,no
,self-employed,married,no
46,blue-collar,divorced,no
50,unemployed,married,no
27,student,single,no
,technician,single,no
,admin.,married,yes
39,unemployed,married,no
43,management,married,no
60,blue-collar,married,no
31,blue-collar,married,no
26,technician,single,no
41,technician,married,no
,services,married,no
,blue-collar,married,yes
34,blue-collar,married,no
30,services,single,no
40,technician,married,no
30,unemployed,married,no
35,admin.,single,yes
32,technician,married,yes
,admin.,divorced,no
,entrepreneur,single,no
29,admin.,single,no
,admin.,single,yes
32,admin.,single,no
,admin.,married,no
,retired,married,no
33,admin.,single,yes
34,technician,single,no
39,admin.,married,no
46,housemaid,married,no
54,management,married,no
,blue-collar,married,no
,unemployed,single,no
41,services,married,no
29,admin.,single,no
,management,single,no
39,admin.,married,no
,management,single,no
,admin.,single,no
,blue-collar,married,no
52,management,married,no
34,admin.,married,no
32,admin.,single,no
55,unknown,married,no
33,admin.,married,yes
38,services,married,yes
,technician,married,no
35,admin.,married,no
35,technician,married,no
45,entrepreneur,married,no
48,retired,married,no
37,technician,married,no
54,retired,divorced,no
39,admin.,married,no
31,admin.,single,no
57,retired,married,no
61,self-employed,divorced,no
56,admin.,married,no
35,blue-collar,married,no
,admin.,married,no
68,retired,married,no
30,blue-collar,married,no
,management,married,no
34,blue-collar,married,no
35,blue-collar,single,no
55,technician,married,no
31,services,single,yes
,admin.,single,no
25,self-employed,single,no
40,technician,single,no
,services,single,no
28,blue-collar,married,no
,blue-collar,married,no
46,admin.,divorced,no
,technician,married,no
,student,single,no
31,unemployed,single,no
45,blue-collar,married,no
35,technician,single,no
,technician,single,no
56,admin.,single,no
43,admin.,divorced,no
38,technician,single,no
47,blue-collar,married,no
,technician,married,no
,blue-collar,married,no
44,entrepreneur,married,no
,admin.,divorced,no
30,blue-collar,married,yes
39,admin.,divorced,no
57,retired,married,no
30,management,single,no
39,blue-collar,married,no
36,services,divorced,no
24,services,married,no
,self-employed,married,no
35,services,single,no
,technician,single,no
38,technician,single,no
36,admin.,single,no
48,entrepreneur,married,no
31,blue-collar,single,no
41,blue-collar,married,no
49,management,married,no
27,technician,married,no
30,blue-collar,married,no
49,entrepreneur,married,no
51,technician,divorced,no
31,technician,married,no
46,technician,divorced,no
34,blue-collar,married,no
42,management,single,yes
31,admin.,divorced,no
49,admin.,married,no
34,unemployed,married,no
36,admin.,divorced,no
28,blue-collar,single,no
25,blue-collar,single,no
,admin.,married,no
32,management,married,no
25,student,single,yes
50,blue-collar,married,no
,blue-collar,divorced,no
56,management,married,no
31,technician,single,no
,technician,single,no
44,blue-collar,married,no
38,technician,single,no
32,blue-collar,married,no
50,services,single,no
31,admin.,single,no
53,self-employed,married,no
34,blue-collar,married,no
,technician,single,no
,retired,divorced,no
35,blue-collar,married,no
50,admin.,married,no
47,admin.,single,no
24,technician,single,no
42,blue-collar,married,no
33,management,married,no
42,services,married,no
29,admin.,single,no
36,technician,single,no
57,admin.,married,no
43,blue-collar,married,no
47,blue-collar,single,yes
42,admin.,married,no
,blue-collar,single,no
27,blue-collar,single,no
,services,single,no
50,self-employed,married,no
60,admin.,married,yes
36,admin.,married,no
45,services,married,no
,admin.,divorced,no
,blue-collar,single,no
38,admin.,single,no
35,blue-collar,married,yes
,admin.,married,no
,management,divorced,no
,management,married,no
38,entrepreneur,married,no
31,admin.,single,no
24,admin.,single,no
32,services,single,no
30,blue-collar,married,no
,blue-collar,married,no
29,self-employed,single,no
,housemaid,divorced,no
21,services,single,no
56,blue-collar,married,yes
25,admin.,single,no
36,services,single,no
38,housemaid,married,no
26,services,single,no
31,unemployed,single,no
33,technician,married,yes
,blue-collar,married,no
39,admin.,married,no
54,self-employed,married,no
,unemployed,divorced,no
53,retired,married,no
,admin.,single,no
31,admin.,single,no
55,admin.,married,no
34,blue-collar,married,no
,self-employed,single,no
32,services,married,no
38,blue-collar,single,no
36,admin.,single,no
59,entrepreneur,married,no
45,admin.,married,no
33,blue-collar,married,no
71,retired,married,no
44,technician,married,no
65,retired,married,yes
24,unemployed,single,no
25,student,single,yes
23,student,single,no
57,self-employed,married,no
31,technician,single,no
29,admin.,single,no
,services,married,no
58,entrepreneur,married,no
,housemaid,divorced,no
48,admin.,married,yes
25,admin.,single,no
,retired,married,no
34,technician,single,yes
38,services,married,no
27,technician,single,no
,entrepreneur,married,no
57,retired,single,no
,blue-collar,single,no
36,technician,married,no
27,unknown,single,no
,technician,single,no
57,entrepreneur,married,no
46,blue-collar,married,no
50,admin.,married,no
48,technician,married,yes
32,technician,single,no
34,blue-collar,single,no
34,technician,married,no
58,admin.,divorced,yes
31,technician,divorced,no
,services,single,no
30,admin.,married,yes
,admin.,single,no
37,blue-collar,married,no
,blue-collar,single,no
38,services,divorced,no
37,services,divorced,no
30,services,single,no
,management,married,no
37,management,married,no
,technician,married,no
,technician,single,no
33,blue-collar,married,no
,housemaid,married,no
70,retired,married,no
55,retired,married,no
64,admin.,married,yes
21,student,single,no
58,services,divorced,no
38,management,single,no
,admin.,single,no
,services,married,yes
,admin.,married,no
31,blue-collar,married,no
32,technician,married,yes
53,unknown,married,no
31,blue-collar,divorced,no
29,technician,single,no
,blue-collar,married,yes
,management,married,no
54,management,married,yes
,technician,single,no
,technician,single,no
,management,married,no
38,admin.,single,no
34,admin.,married,no
36,blue-collar,married,no
31,self-employed,single,no
,admin.,married,no
55,admin.,divorced,no
57,retired,married,no
59,retired,married,no
,entrepreneur,married,no
56,technician,single,no
46,blue-collar,married,no
40,technician,single,no
27,services,single,no
38,blue-collar,married,no
32,admin.,married,no
56,services,married,no
,retired,married,yes
42,blue-collar,married,no
,retired,single,no
53,management,married,no
,technician,married,no
57,blue-collar,married,no
,blue-collar,married,no
30,admin.,single,no
41,blue-collar,married,no
,self-employed,divorced,no
34,blue-collar,single,no
,services,divorced,no
58,retired,married,no
33,blue-collar,single,no
51,services,married,yes
47,housemaid,married,no
39,management,single,no
41,admin.,divorced,no
,services,divorced,no
,blue-collar,divorced,no
44,technician,married,no
58,unemployed,divorced,no
33,blue-collar,married,yes
,unemployed,married,no
39,housemaid,married,no
56,services,divorced,no
46,admin.,divorced,no
44,technician,divorced,yes
48,blue-collar,married,no
,management,married,no
51,technician,married,yes
,admin.,married,no
,technician,divorced,no
,services,married,no
61,retired,married,yes
37,technician,married,no
36,technician,single,no
39,entrepreneur,married,no
,admin.,divorced,no
31,admin.,single,no
40,technician,married,no
29,admin.,single,yes
46,blue-collar,married,no
32,entrepreneur,single,no
33,admin.,divorced,no
38,admin.,married,no
59,retired,married,no
25,services,single,no
57,technician,married,no
49,blue-collar,divorced,no
45,housemaid,married,no
32,blue-collar,divorced,no
33,admin.,single,no
36,management,single,no
29,admin.,single,no
36,admin.,married,no
32,services,married,no
,services,married,no
36,blue-collar,married,no
40,technician,married,no
59,admin.,married,no
42,technician,married,no
26,services,single,no
35,blue-collar,married,no
74,retired,married,no
,blue-collar,married,no
34,services,single,no
54,management,married,no
51,entrepreneur,married,no
35,admin.,single,no
29,admin.,married,no
41,admin.,single,no
,services,married,no
,admin.,single,no
26,admin.,married,yes
42,technician,married,no
,admin.,married,no
31,technician,single,yes
31,blue-collar,single,no
30,blue-collar,married,no
38,admin.,married,no
52,unemployed,married,no
,services,single,no
29,admin.,single,no
34,entrepreneur,married,no
46,admin.,married,no
50,blue-collar,married,no
,admin.,married,no
45,admin.,married,yes
,technician,married,no
37,admin.,married,no
45,unknown,married,no
54,admin.,married,no
37,admin.,married,no
36,services,married,no
,admin.,single,no
36,blue-collar,married,yes
,technician,married,no
49,blue-collar,married,no
61,unknown,single,no
,admin.,married,no
18,student,single,no
42,admin.,married,no
25,admin.,single,no
32,management,single,no
32,blue-collar,married,no
,blue-collar,married,no
,technician,single,no
35,blue-collar,married,no
,retired,married,yes
35,blue-collar,married,no
,student,single,no
36,blue-collar,single,no
30,student,single,no
57,retired,married,no
28,services,married,no
41,admin.,divorced,yes
36,management,single,no
71,retired,married,no
25,blue-collar,single,yes
56,management,divorced,no
37,entrepreneur,married,no
45,technician,married,no
,retired,married,yes
45,management,married,no
,blue-collar,single,no
30,admin.,married,no
24,services,single,no
,technician,married,no
30,technician,single,no
40,blue-collar,single,no
80,retired,married,yes
34,blue-collar,married,no
28,admin.,single,yes
30,services,single,no
,admin.,married,no
34,housemaid,married,no
36,admin.,single,no
46,retired,married,no
24,technician,single,no
39,management,single,no
,admin.,married,no
48,management,married,no
39,entrepreneur,married,no
35,blue-collar,married,no
31,technician,single,no
40,technician,single,no
,admin.,single,no
45,admin.,married,no
54,technician,married,no
,admin.,single,yes
,management,married,yes
29,blue-collar,married,no
44,blue-collar,married,yes
41,blue-collar,married,no
27,self-employed,single,no
35,management,single,no
,admin.,single,no
30,student,single,no
28,management,single,no
38,services,married,no
,admin.,married,no
41,entrepreneur,divorced,yes
40,housemaid,single,no
22,student,single,yes
35,admin.,single,no
40,admin.,single,no
27,services,single,yes
31,blue-collar,single,no
27,self-employed,single,no
29,self-employed,married,no
,technician,married,no
24,technician,single,no
54,technician,divorced,no
,student,single,yes
30,unknown,married,no
,admin.,single,no
38,services,married,no
,technician,married,no
31,admin.,married,no
41,entrepreneur,married,no
,admin.,married,no
32,services,single,no
33,management,single,no
36,blue-collar,married,no
21,student,single,yes
,admin.,married,no
41,blue-collar,married,no
38,technician,single,no
41,admin.,divorced,no
,technician,married,no
,admin.,married,no
39,management,married,no
28,blue-collar,single,no
41,management,married,no
31,self-employed,married,yes
41,blue-collar,married,no
45,services,single,no
,technician,single,no
23,services,single,no
,retired,divorced,no
54,admin.,married,no
34,technician,single,no
,management,married,yes
56,management,married,no
55,technician,married,no
23,technician,single,no
30,technician,divorced,no
,admin.,married,no
,management,married,no
53,technician,married,no
55,blue-collar,married,no
25,admin.,single,no
36,admin.,single,no
50,services,married,no
,admin.,married,no
46,management,married,no
34,technician,divorced,no
,technician,married,no
39,blue-collar,married,yes
,admin.,married,no
80,housemaid,married,yes
,self-employed,divorced,no
34,self-employed,single,no
58,blue-collar,married,no
52,admin.,divorced,no
,student,single,yes
,technician,married,no
30,admin.,single,yes
,management,divorced,no
,blue-collar,single,no
28,services,single,no
,admin.,single,no
57,blue-collar,married,yes
31,services,divorced,no
33,admin.,married,no
49,blue-collar,married,no
46,admin.,married,no
31,admin.,married,no
52,blue-collar,married,no
38,technician,married,yes
24,services,single,no
34,technician,married,no
42,blue-collar,divorced,no
38,admin.,married,yes
34,admin.,single,no
30,admin.,single,no
31,blue-collar,married,no
,self-employed,married,yes
39,management,married,no
50,blue-collar,divorced,no
35,admin.,married,no
,blue-collar,single,no
38,blue-collar,married,no
57,housemaid,married,yes
46,admin.,married,no
40,technician,married,no
,blue-collar,married,no
54,admin.,married,yes
26,admin.,single,no
,admin.,married,no
35,services,married,no
,admin.,married,yes
,self-employed,single,no
,admin.,married,no
51,technician,married,no
35,technician,single,no
,housemaid,married,no
28,housemaid,married,no
33,services,married,no
26,blue-collar,married,no
55,retired,divorced,no
54,blue-collar,married,no
30,admin.,married,no
40,management,married,no
48,unemployed,married,no
,management,divorced,no
31,blue-collar,married,no
58,admin.,married,no
33,management,single,no
30,technician,single,no
57,management,divorced,yes
56,technician,divorced,no
35,admin.,married,no
42,admin.,married,no
40,admin.,single,no
37,self-employed,married,no
22,blue-collar,single,yes
34,housemaid,single,no
38,admin.,single,no
27,admin.,single,yes
33,entrepreneur,married,no
,blue-collar,single,no
30,technician,single,no
37,blue-collar,married,no
,blue-collar,married,no
37,blue-collar,married,no
30,blue-collar,single,no
50,admin.,married,no
26,services,single,no
28,blue-collar,married,no
,management,married,no
,unemployed,single,no
46,entrepreneur,married,no
27,blue-collar,married,no
,admin.,married,no
53,admin.,married,no
30,technician,single,no
31,student,single,no
23,admin.,single,no
59,housemaid,married,no
,student,single,no
,services,single,no
47,blue-collar,divorced,no
30,technician,married,no
58,blue-collar,married,no
75,retired,married,no
,technician,married,no
46,blue-collar,married,no
56,retired,married,yes
39,admin.,single,yes
37,blue-collar,married,no
60,services,married,no
33,admin.,single,no
40,self-employed,married,no
53,management,married,no
,blue-collar,single,no
25,blue-collar,single,no
26,admin.,single,no
71,retired,married,no
34,technician,single,no
51,management,divorced,no
41,blue-collar,married,no
57,retired,married,no
29,admin.,married,no
31,blue-collar,single,no
,blue-collar,married,no
,services,unknown,no
34,admin.,single,no
50,admin.,married,no
,admin.,divorced,no
37,entrepreneur,married,no
42,blue-collar,married,no
53,services,married,no
32,admin.,married,no
35,entrepreneur,divorced,no
,services,married,no
34,technician,married,no
,admin.,single,no
34,admin.,married,no
31,technician,married,no
,blue-collar,single,no
35,blue-collar,married,no
37,blue-collar,single,no
33,admin.,divorced,no
30,technician,married,no
53,blue-collar,married,no
39,blue-collar,married,no
55,technician,married,no
49,self-employed,married,no
35,blue-collar,married,no
35,technician,married,no
37,unemployed,single,no
62,blue-collar,married,no
41,admin.,married,no
45,entrepreneur,divorced,no
33,admin.,married,no
24,admin.,single,no
35,unknown,married,no
58,services,married,no
43,management,married,no
36,technician,single,no
35,management,married,no
50,technician,married,no
41,admin.,married,no
31,technician,single,no
24,technician,single,no
31,blue-collar,married,no
43,blue-collar,married,no
39,management,single,no
28,services,married,yes
39,technician,married,no
30,technician,married,no
35,blue-collar,single,no
50,admin.,divorced,no
,admin.,single,no
49,services,married,no
51,unemployed,married,no
38,services,divorced,no
30,admin.,married,no
30,technician,divorced,no
,housemaid,married,yes
26,admin.,single,no
47,management,married,no
48,services,divorced,no
50,management,married,no
42,blue-collar,married,yes
,housemaid,married,no
46,technician,divorced,no
31,management,married,no
45,unemployed,married,no
53,blue-collar,married,no
,unemployed,married,no
,entrepreneur,single,no
37,management,married,no
42,services,married,no
24,student,single,yes
34,housemaid,divorced,no
34,technician,married,no
33,unemployed,single,no
,blue-collar,married,no
44,entrepreneur,married,no
51,blue-collar,married,no
,technician,divorced,no
33,admin.,single,no
38,blue-collar,divorced,no
43,technician,married,no
,admin.,single,yes
,services,divorced,no
31,housemaid,married,no
,blue-collar,married,no
48,services,divorced,no
25,blue-collar,single,no
37,blue-collar,married,no
50,management,married,no
34,services,married,no
,services,married,no
54,blue-collar,divorced,no
46,management,married,no
44,technician,single,no
,blue-collar,married,no
31,services,single,yes
40,technician,married,no
28,blue-collar,married,no
37,technician,married,no
48,management,married,yes
36,self-employed,married,no
33,admin.,married,no
33,admin.,single,no
33,technician,married,no
46,entrepreneur,married,no
47,management,married,no
,technician,single,no
,services,married,no
40,blue-collar,single,no
32,services,married,no
40,technician,married,no
44,blue-collar,married,no
,blue-collar,married,no
30,management,married,no
29,admin.,married,yes
,management,single,no
51,admin.,married,no
34,technician,married,no
29,student,single,yes
,blue-collar,married,no
,services,married,no
29,admin.,single,no
,admin.,married,no
58,retired,married,no
57,admin.,divorced,no
38,admin.,married,no
41,blue-collar,married,no
49,services,divorced,no
33,blue-collar,married,no
,admin.,married,no
,blue-collar,married,no
55,technician,divorced,yes
30,blue-collar,married,no
43,technician,single,no
33,services,single,no
32,services,single,no
39,admin.,married,no
,services,single,no
43,unknown,married,no
38,blue-collar,married,no
37,blue-collar,married,no
30,admin.,married,yes
35,admin.,single,no
40,management,married,yes
30,admin.,married,no
36,admin.,married,no
,technician,married,no
30,technician,divorced,no
50,blue-collar,married,no
58,housemaid,married,no
37,admin.,married,no
,technician,divorced,no
49,blue-collar,married,no
44,admin.,married,no
,admin.,divorced,no
35,admin.,single,no
,blue-collar,married,no
26,admin.,married,no
,services,single,no
47,blue-collar,divorced,no
85,housemaid,married,yes
40,blue-collar,married,no
,admin.,single,yes
28,admin.,single,no
62,retired,married,yes
46,self-employed,married,no
53,retired,married,no
31,admin.,single,no
,admin.,married,no
37,blue-collar,married,no
27,admin.,single,no
37,management,divorced,no
27,services,single,no
59,unknown,married,no
,unknown,married,no
35,blue-collar,married,no
61,admin.,married,no
42,services,married,no
50,services,married,no
41,unemployed,married,no
36,admin.,married,no
,technician,single,no
,blue-collar,married,no
48,admin.,divorced,no
30,management,single,no
,admin.,single,no
42,technician,married,no
31,unemployed,married,no
28,blue-collar,married,no
28,services,married,no
54,technician,married,no
43,admin.,married,no
37,technician,divorced,no
35,student,single,no
40,admin.,married,no
54,admin.,married,no
,technician,married,no
39,blue-collar,married,no
34,blue-collar,married,no
33,management,single,no
36,blue-collar,married,no
38,blue-collar,married,no
49,admin.,divorced,no
34,admin.,single,no
39,blue-collar,married,no
46,self-employed,married,no
,services,married,no
,management,single,no
37,blue-collar,married,no
,blue-collar,married,yes
37,admin.,married,no
38,services,divorced,no
39,self-employed,married,no
41,housemaid,married,no
38,blue-collar,married,no
,student,single,no
22,blue-collar,single,no
,retired,married,no
,technician,married,no
,services,married,no
33,blue-collar,married,no
50,technician,married,no
,blue-collar,single,no
37,admin.,single,no
45,blue-collar,married,no
26,entrepreneur,married,no
36,admin.,married,no
45,unknown,married,no
42,blue-collar,divorced,no
,admin.,married,no
,management,married,no
50,management,married,no
33,blue-collar,married,no
49,services,married,no
33,blue-collar,married,no
24,admin.,single,no
39,blue-collar,married,no
,technician,married,no
35,admin.,married,no
32,services,married,no
26,admin.,single,no
,blue-collar,married,yes
40,admin.,single,no
59,admin.,divorced,no
40,services,married,no
49,admin.,married,no
,admin.,married,no
55,technician,single,no
27,admin.,single,no
42,admin.,divorced,no
28,housemaid,single,no
,retired,married,no
28,admin.,single,no
,technician,single,no
27,blue-collar,single,no
31,services,single,no
,admin.,married,no
29,technician,married,no
42,blue-collar,married,no
35,admin.,single,no
28,admin.,single,no
34,services,married,no
24,services,single,no
,blue-collar,married,yes
,technician,married,no
,admin.,married,no
32,admin.,married,no
47,technician,single,no
40,admin.,single,no
36,services,married,no
,admin.,married,no
33,blue-collar,single,no
,unknown,single,no
29,admin.,married,yes
49,admin.,married,no
52,technician,divorced,no
30,admin.,married,no
39,admin.,married,no
55,technician,married,no
,services,married,no
32,unemployed,married,no
31,unemployed,single,no
20,blue-collar,married,no
50,blue-collar,married,no
51,blue-collar,married,yes
,blue-collar,single,no
,management,married,no
37,blue-collar,married,no
49,unemployed,married,yes
50,management,married,no
54,technician,married,no
45,technician,married,no
51,technician,married,no
42,admin.,married,no
32,admin.,single,yes
80,retired,married,no
,admin.,single,no
,management,married,no
,admin.,single,no
32,admin.,single,yes
,admin.,married,no
68,retired,married,yes
,technician,married,no
35,admin.,married,no
48,management,married,no
,technician,married,no
51,housemaid,married,no
40,blue-collar,divorced,no
38,blue-collar,married,no
,blue-collar,married,no
31,admin.,single,no
33,admin.,married,no
40,blue-collar,married,no
39,management,married,no
31,management,single,no
,admin.,married,no
34,technician,single,yes
59,housemaid,divorced,no
52,housemaid,married,no
37,admin.,married,no
,admin.,single,no
,technician,married,no
37,services,married,no
,management,married,no
32,technician,married,no
,admin.,married,yes
38,technician,married,no
31,admin.,married,no
55,housemaid,single,no
,blue-collar,married,yes
45,blue-collar,married,no
49,blue-collar,divorced,no
41,admin.,divorced,no
,blue-collar,married,no
,self-employed,married,no
22,student,single,no
31,housemaid,married,no
32,services,married,no
32,blue-collar,single,no
57,retired,divorced,no
47,blue-collar,married,no
32,admin.,single,yes
50,unknown,married,no
,blue-collar,divorced,no
54,management,married,no
37,retired,divorced,no
31,unemployed,divorced,no
36,blue-collar,single,no
29,technician,married,no
43,management,married,no
,blue-collar,married,no
45,self-employed,divorced,no
25,blue-collar,divorced,no
,admin.,married,yes
39,services,divorced,no
32,technician,single,no
35,entrepreneur,single,no
32,unknown,single,no
,technician,married,yes
20,services,single,no
45,admin.,divorced,no
,technician,married,no
32,technician,married,no
30,blue-collar,single,no
33,unemployed,married,no
,blue-collar,married,no
,admin.,single,yes
,services,single,no
34,admin.,married,no
20,student,single,no
28,admin.,single,no
38,technician,married,no
55,retired,married,yes
29,services,single,no
36,admin.,single,yes
54,blue-collar,divorced,no
41,self-employed,married,no
53,entrepreneur,married,no
32,admin.,married,no
34,entrepreneur,married,no
,admin.,single,yes
37,entrepreneur,married,no
37,services,married,yes
45,blue-collar,married,yes
43,blue-collar,divorced,no
33,management,single,no
54,management,married,no
41,admin.,married,no
,technician,single,no
,retired,divorced,no
44,technician,married,no
41,entrepreneur,divorced,no
,blue-collar,divorced,no
46,admin.,single,no
48,technician,married,no
32,services,single,no
,technician,married,no
29,blue-collar,single,yes
27,blue-collar,married,no
30,services,married,no
49,technician,divorced,no
27,management,single,no
30,entrepreneur,married,no
29,admin.,married,no
74,retired,divorced,no
,entrepreneur,married,no
45,unknown,married,no
,blue-collar,divorced,no
,blue-collar,single,no
32,technician,married,no
,management,single,no
,management,married,no
45,services,married,no
29,self-employed,single,no
41,technician,married,no
30,blue-collar,single,no
48,services,divorced,no
57,management,married,no
47,entrepreneur,married,no
60,retired,married,no
39,blue-collar,married,no
41,technician,single,no
,technician,married,no
36,admin.,married,no
35,technician,single,no
,blue-collar,married,no
33,services,single,no
29,student,single,no
,management,married,no
40,services,divorced,no
37,blue-collar,married,no
,management,married,yes
,admin.,married,yes
57,retired,married,no
36,admin.,married,no
33,unemployed,married,no
35,self-employed,single,no
,technician,single,yes
28,admin.,married,no
,unknown,single,no
,technician,single,no
32,services,married,no
47,blue-collar,married,no
29,admin.,single,no
31,technician,single,no
47,self-employed,married,no
35,entrepreneur,married,no
32,blue-collar,single,no
41,admin.,single,no
54,services,married,no
55,admin.,married,no
35,retired,single,no
,admin.,married,no
,self-employed,married,no
47,self-employed,married,no
,blue-collar,married,no
,admin.,single,no
49,technician,married,no
33,admin.,married,no
28,technician,married,no
31,admin.,single,yes
85,retired,single,no
38,admin.,married,no
32,technician,single,no
35,admin.,married,no
46,blue-collar,single,no
47,blue-collar,married,no
28,admin.,married,no
32,unemployed,single,no
,admin.,divorced,no
46,admin.,married,no
,blue-collar,divorced,no
51,admin.,married,no
,blue-collar,married,no
42,admin.,married,no
,admin.,married,yes
,services,married,no
53,management,married,no
24,admin.,single,yes
,management,divorced,no
,admin.,single,no
46,management,married,no
,blue-collar,married,no
30,technician,single,no
23,services,single,no
,admin.,married,no
39,blue-collar,married,no
32,technician,single,no
31,technician,married,no
33,services,married,no
,blue-collar,married,no
,technician,married,no
,housemaid,married,no
30,unemployed,married,no
45,admin.,divorced,no
49,housemaid,married,no
35,technician,married,no
32,technician,single,no
23,entrepreneur,married,no
54,technician,married,no
60,blue-collar,married,no
42,admin.,married,no
35,admin.,married,no
29,admin.,single,no
33,technician,married,no
48,technician,married,no
30,services,single,no
,technician,married,no
26,student,single,no
35,technician,single,no
50,admin.,married,no
55,blue-collar,married,no
29,services,married,no
37,blue-collar,married,no
,services,married,no
45,services,married,no
52,blue-collar,divorced,no
,technician,married,no
58,management,married,no
38,blue-collar,married,no
30,management,single,yes
,student,single,yes
38,technician,married,no
43,blue-collar,married,no
42,blue-collar,single,no
41,blue-collar,single,no
31,services,divorced,no
37,technician,single,no
28,self-employed,married,yes
,technician,single,no
43,services,married,no
59,housemaid,married,no
,admin.,married,no
,blue-collar,married,no
,unemployed,married,no
,admin.,married,no
49,blue-collar,single,no
54,admin.,married,no
,management,married,no
32,blue-collar,divorced,no
26,services,single,no
51,admin.,married,no
,services,married,yes
33,technician,single,no
34,entrepreneur,single,no
,services,divorced,no
33,blue-collar,married,yes
28,admin.,single,yes
45,management,married,no
,admin.,single,no
49,blue-collar,divorced,no
43,housemaid,married,no
,technician,married,no
40,technician,married,no
28,blue-collar,married,no
38,admin.,married,no
,admin.,married,no
33,services,married,no
28,admin.,single,no
41,technician,single,no
43,blue-collar,married,yes
,technician,married,no
36,blue-collar,married,no
45,management,married,yes
,services,married,no
53,management,married,no
,technician,married,no
45,blue-collar,married,no
,blue-collar,married,no
33,admin.,single,no
,unemployed,married,no
28,blue-collar,married,no
,blue-collar,married,no
37,housemaid,single,no
56,services,married,no
38,admin.,divorced,no
,management,married,no
32,technician,single,no
47,management,married,no
,admin.,married,no
35,blue-collar,single,no
24,services,single,no
45,blue-collar,married,no
,retired,divorced,no
52,services,divorced,no
41,technician,married,no
,admin.,divorced,no
,blue-collar,married,no
,technician,married,no
66,retired,married,yes
31,admin.,married,no
,student,single,yes
40,technician,married,no
36,entrepreneur,married,no
,blue-collar,single,no
,admin.,married,no
,services,married,no
59,retired,married,no
27,unemployed,married,no
,technician,married,no
45,services,divorced,no
,technician,married,no
52,blue-collar,married,no
38,admin.,married,no
,admin.,divorced,no
46,blue-collar,married,no
50,admin.,married,no
41,unemployed,married,yes
,admin.,married,no
42,housemaid,married,no
,housemaid,married,no
39,admin.,divorced,no
38,technician,married,no
,blue-collar,married,no
38,blue-collar,married,no
31,admin.,single,no
41,blue-collar,married,no
27,admin.,married,no
27,student,single,no
28,management,single,no
80,retired,divorced,yes
52,blue-collar,married,no
,admin.,married,no
52,management,divorced,no
41,services,divorced,no
,technician,married,no
30,self-employed,single,no
48,technician,married,yes
48,technician,single,yes
38,blue-collar,divorced,no
32,blue-collar,married,no
33,technician,married,no
